id,ProductCode,Barcode,Name,Description,UnitPrice,Discount,MinimumPrice,DiscountType,Brand,Category,Notes,Type,Tax1,Tax2,Status,BuyPrice,TrackStock,TrackingType,StockBalance,UnitTemplate,AverageCost,LowStockThershol,ProfitMargin,IsFeatured,IsAvilableOnline,مناسب لـ :-Custom,شكل الإطار-Custom,مادة الإطار-Custom,عرض العدسة-Custom,طول العدسة-Custom,لون العدسة-Custom,مادة العدسة-Custom
18,11,1009020003,"RA 7150 5001 145 - Polo Ralph Lauren"," ",880," ",440," ","بولو رالف لورين - Polo Ralph Louren","بولو رالف لورين - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
19,12,1010010001,"VPL N26 -CL0C03 - Police"," ",840," ",420,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
20,13,1010010045,"UPLP09-CLR22P - police"," ",940," ",470," ","بوليس - police","بوليس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
21,14,1010010046,"UPLP09-CLZ42P - police"," ",940," ",470," ","بوليس - police","بوليس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
22,15,1010010047,"UPLP10-CL3021 - police"," ",940," ",470," ","بوليس - police","بوليس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
23,16,1010010048,"VK 127-CL06A1 - Police"," ",800," ",400,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
24,17,1010010049,"VPL950-CL06QS - Police"," ",800," ",400," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
25,18,1010010050,"VPLF03-CL700Y - Police"," ",800," ",400,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
26,19,1010010051,"VPLF04-CL700Y - Police"," ",830," ",415," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
27,20,1010010052,"VPLL63 - CL098Z - Police"," ",800," ",400,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
28,21,1010010053,"VPLG70-CLAGAM - Police"," ",910," ",455,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," ","رجال فقط"," "," "," "," "," "," "
29,22,1010010054,"VPLG70-CL0Z42 - Police"," ",910," ",455," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
30,23,1010010055,"VPLG70-CL0Z42 - Police"," ",910," ",455," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
31,24,1010010056,"VPLL73 - CL08FF - Police"," ",830," ",415,1,"بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
32,25,1010010057,"VPLN16-CL0703Y - police"," ",830," ",415,1,"بوليس - police","بوليس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
33,26,1010010058,"VPLG72-CL0700 - Police"," ",800," ",400," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
34,27,1010010059,"VPLG74-CL0700 - Police"," ",800," ",400," ","بوليس - police","بوليس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
35,28,1011020050,"VTO 431 0SN9 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
36,29,1011020051,"VTO 449 0H60 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
37,30,1011020052,"VTO 450 02AM 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
38,31,1011020053,"VTO 450 0492 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
39,32,1011020054,"VTO 450 0H60 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
40,33,1011020055,"VTO 452 0SNB 135 - Tous"," ",780," ",390,1,"توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
41,34,1011020056,"VTO 452 02AM 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
42,35,1011020057,"VTO B96 0700 140 - Tous"," ",870," ",435,1,"توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
43,36,1011020058,"VTO A13 06L5 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
44,37,1011020059,"VTO A13 0AD4 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
45,38,1011020060,"VTO B02 08LA 140 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
46,39,1011020061,"VTO B03 09QL 140 - Tous"," ",870," ",435," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
47,40,1011020062,"VTO B06S 0700 140 - Tous"," ",870," ",435," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
48,41,1011020063,"VTO B11S 09SW 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
49,42,1011020064,"VTO B26 05GP 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
50,43,1011020065,"VTO B26 099N 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
51,44,1011020066,"VTO B27 05GP 135 - Tous"," ",780," ",390,1,"توس - Tous","توس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," ","نساء فقط"," "," "," "," "," "," "
52,45,1011020067,"VTO B27 05GP 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
53,46,1011020068,"VTO B27 099N 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
54,47,1011020069,"VTO B28 06YW 140 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
55,48,1011020070,"VTO B29 06YW 140 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
56,49,1011020071,"VTO B29 08LA 140 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
57,50,1011020072,"VTO B29L 0BLA 133 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
58,51,1011020073,"VTO B30 0GL9 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
59,52,1011020074,"VTO B33 0VBB 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
60,53,1011020075,"VTO B34L 06UM 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
61,54,1011020076,"VTO B33V 0722 135 - Tous"," ",780," ",390,1,"توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
62,55,1011020077,"VTO B63 0700 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
63,56,1011020078,"VTO B63 0752 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
64,57,1011020079,"VTO B63 08A2 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
65,58,1011020080,"VTO B64 09DA 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
66,59,1011020081,"VTO B64 0GBC 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
67,60,1011020082,"VTO B65 09AD 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
68,61,1011020083,"VTO B65 0D89 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
69,62,1011020084,"VTO B70 0WTA 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
70,63,1011020085,"VTO B72 0752 140 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
71,64,1011020086,"VTO B72 0ADL 140 - Tous"," ",729," ",364.5," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
72,65,1011020087,"VTO B98 0700 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
73,66,1011020088,"VTO B98 0Q66 135 - Tous"," ",780," ",390," ","توس - Tous","توس - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
74,67,1013010003,"TH 1722 PJP 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
75,68,1013010004,"TH 1771 003 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
76,69,1013010005,"TH 1772 PJP 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
77,70,1013010007,"TH 1832 003 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
78,71,1013010008,"TH 1841 807 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
79,72,1013010009,"TH 1875 4IN 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
80,73,1013010010,"TH 1876 807 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
81,74,1013010011,"TH 2021 KB7 145 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
82,75,1013020006,"TH 1820 LKS 140 - Tommy Hilfiger"," ",840," ",420," ","تومي - Tommy Hilfiger","تومي - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
83,76,1016020001,"JC 269 086 145 - Jimmy Choo"," ",1100," ",550," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
84,77,1016020002,"JC 269 DXF 145 - Jimmy Choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
85,78,1016020003,"JC 301 000 145 - Jimmy Choo"," ",1100," ",550," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
86,79,1016020004,"JC 302 1GR 145 - Jimmy Choo"," ",1000," ",500," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
87,80,1016020005,"JC 316 1EI 145 - Jimmy Choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
88,81,1016020006,"JC 328/G LHF 145 - Jimmy Choo"," ",1200," ",600," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
89,82,1016020007,"JC 333 000 140 - Jimmy Choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
90,83,1016020008,"JC 343 807 145 - Jimmy Choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
91,84,1016020009,"JC 352 807 145 - Jimmy Choo"," ",1200," ",600," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
92,85,1016020010,"JC 362 807 145 - jimmy choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
93,86,1016020011,"JC 375 900 145 - Jimmy Choo"," ",1300," ",650," ","جيمي شو - jimmy choo","جيمي شو - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
94,87,1017010001,"BOTANICA O S21 4800 - Dior"," ",1500," ",0,1,"ديور - Dior","ديور - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
95,88,1017010002,"CD ICON 0 S31 1000 - Dior"," ",1760," ",0," ","ديور - Dior","ديور - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
96,89,1017010003,"CD ICON 0 S41 2000 - Dior"," ",1760," ",0," ","ديور - Dior","ديور - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
97,90,1018010005,"RB 3916 8058 145 - Ray ban"," ",799," ",399.5," ","ريبان - Ray ban","ريبان - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
98,91,1018010007,"RB 4361V 5943 145 - Ray-Ban"," ",820," ",410," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
99,92,1018010008,"RB 4471-V 8193 145 - Ray-Ban"," ",790," ",395," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
100,93,1018010009,"RB 5154 8117 140 - Ray-Ban"," ",720," ",360," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
101,94,1018010010,"RB 5376 2034 145 - Ray-Ban"," ",770," ",385," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
102,95,1018010011,"RB 5376 2043 145 - Ray-Ban"," ",770," ",385,1,"ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
103,96,1018010012,"RB 6465 3137 145 - Ray-Ban"," ",850," ",425,1,"ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
104,97,1018010013,"RB 6433 3041 145 - Ray-Ban"," ",770," ",385," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
105,98,1018010015,"RB 7025 5796 145 - Ray-Ban"," ",770," ",385,1,"ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
106,99,1018010016,"RB 7183 8062 145 - Ray-Ban"," ",770," ",385,1,"ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
107,100,1018010017,"RB 7190 8084 140 - Ray-Ban"," ",700," ",350," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
108,101,1018010018,"RB 7216 8208 145 - Ray-Ban"," ",880," ",440," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
109,102,1018010019,"RB 7216 8210 145 - Ray-Ban"," ",820," ",410," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
110,103,1018010020,"RB 7227F 2000 145 - Ray ban"," ",800," ",400," ","ريبان - Ray ban","ريبان - طبي"," ",1,"معافاة  (0%)"," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
111,104,1018020004,"RB 0316V 8233 145 - Ray-Ban"," ",890," ",445," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
112,105,1018020006,"RB 3947V 2500 140 - Ray-Ban"," ",820," ",410," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
113,106,1018020014,"RB 6461 2501 145 - Ray-Ban"," ",780," ",390," ","ريبان - Ray ban","ريبان - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
114,107,1019040001,"سبيكترا طبي - Spectra Eyeglasses"," ",150," ",99," ","سبيكترا - Spectra","سبيكترا - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
115,108,1024010016,"VCH 308 06MX -  Chopard"," ",2900," ",1450," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
116,109,1024010017,"VCH 310 0703 -  Chopard"," ",2500," ",1250," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
117,110,1024010019,"VCH 358 0703 -  Chopard"," ",4300," ",2150," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
118,111,1024010021,"VCH 373 0700 -  Chopard"," ",4300," ",2150," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
119,112,1024010022,"VCH 373 0705 -  Chopard"," ",4600," ",2300," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
120,113,1024010023,"VCH 373 0909 -  Chopard"," ",4600," ",2300," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
121,114,1024010033,"VCH L48 0508 -  Chopard"," ",4300," ",2150," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
122,115,1024010034,"VCH L48 0SA1 -  Chopard"," ",4300," ",2150,1,"شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
123,116,1024010035,"VCH L51 0509 -  Chopard"," ",4600," ",2300," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
124,117,1024020011,"VCH 239 09E5 -  Chopard"," ",3800," ",1900,1,"شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
125,118,1024020012,"VCH 253 0700 -  Chopard"," ",3900," ",1950," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
126,119,1024020013,"VCH 253 0956 -  Chopard"," ",3900," ",1950," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
127,120,1024020014,"VCH 255S 09A8 -  Chopard"," ",3500," ",1750," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
128,121,1024020015,"VCH 255S 0AME -  Chopard"," ",3500," ",1750,1,"شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
129,122,1024020018,"VCH 332S 0700 -  Chopard"," ",2160," ",1080," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
130,123,1024020020,"VCH 361S 0AD1 -  Chopard"," ",4600," ",2300," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
131,124,1024020024,"VCH 381S 0700 -  Chopard"," ",4200," ",2100," ","شوبارد -  Chopard","شوبارد - طبي"," ",1," "," ",0,0,1,quantity_only,0," ",0," "," ",0," "," "," "," "," "," "," "," "
